Screen Name,Tweet,Favourite count,Retweet count,Description,Location,Followers,Tweet ID,Date Created
iToyindahouse,"We play too much in Nigeria. The President's presence in Lagos was a security risk hence the curtailed movement.

This is a man who does not have access codes to any nuclear facility or weapon. He does not... https://t.co/1Ey7lNmX8y",0,0,,,689,980300563446403073,2018-04-01 04:27:22
KEVELAIR,Nigeria Airports Yet To Meet ICAO's Security Standard - Guardian (blog) https://t.co/dkXSZ1B4vF https://t.co/ogdz1LWoS7,0,0,"Affrètement aérien et affrètement avion partout dans le monde : location de jet privé , vols charters, gros porteurs . Réceptif et DMC sur l'Amérique du sud",Europe/Amerique/Monde,1195,980298707865235457,2018-04-01 04:19:59
360postBlog,Nigeria Airports Yet To Meet ICAO’s Security Standard Read here https://t.co/WCZp1W6QV1 https://t.co/ycmbeXEdeu,0,0,Official Twitter Account for 360post blog,,1144,980289599036633088,2018-04-01 03:43:47
gregabolo,"'Let The UN, AU, Take Over Our Security, Nigeria's Army Seems Incapable' - Emir Of Anka/  https://t.co/YkjA7O30Qu",0,0,,Kano Nigeria,26,980289180675772416,2018-04-01 03:42:08
igwechurchboy,2019: Security agencies serving a 'conspiratorial parochial agenda' - Obasanjo’s coalition - Daily Post Nigeria https://t.co/5B5aQySTgB,0,0,,,197,980281596438818821,2018-04-01 03:11:59
igwechurchboy,"2019: 'Security agencies sending fear into hearts of Nigerians' – NCP Chairman, Tanko - Daily Post Nigeria https://t.co/mAbiVrf6Ky",0,0,,,197,980281459276763137,2018-04-01 03:11:27
NofNews_Nigeria,"Aviation security personnel set to carry arms â€“ FG Okechukwu Nnodim and Maureen Ihua-Maduenyi
Aviation security personnel of the Federal Airports Authority of Nigeria will soon be... https://t.co/mCC1x3QAad",0,0,,,113,980274146675376128,2018-04-01 02:42:23
NofNews_Nigeria,"US Commercial Service, McAfee advocate protection of digital assets Ife Ogunfuwa
The United States Commercial Service in Nigeria in collaboration with a US cyber-security company, McAfee Incorporated, has... https://t.co/58QQScsPX4",0,0,,,113,980272329245671425,2018-04-01 02:35:10
jobemyng,Cyber Security Engineer Job at Graceco Nigeria Limited https://t.co/t6sLSQGydq,0,0,http://t.co/QcjmjX5z7Q is Nigeria's No 1 Job search Engine. A top Job Publishing company.,Nigeria,4656,980261528707502080,2018-04-01 01:52:15
NwabunwanneRaph,"Every day killing is going on in @nigeria by security forces ,terrorist in uniform or @fulaniheldmen",0,0,," ANAMBRA, NIGERIA.",980,980261092868968448,2018-04-01 01:50:31
pharyah,"When you let terrorism grow, it becomes almost impossible to eradicate. We should have killed this at the early stages, but no; they rather use money meant for security to fund elections. #APC #PDP  https://t.co/FnQLntGO9b",0,0,Yes You Can. One who does not know one thing knows another. GOD First ! 🙏🏽 RT's not mine. #HalaMadrid,"Illinois, USA",96,980243797216030721,2018-04-01 00:41:47
ayetol,"Retweeted Nnamdi Obasi (@NnamdiObasi):

#NIGERIA | An Emir in #Zamfara state calling for #UN intervention to stop #massacres in his domain is unprecedented in Nigeria! It signifies diminished confidence in security... https://t.co/vE0ycX5ic3",0,0,Its a chilling zone ...am talking of life,lagos,621,980242557203513344,2018-04-01 00:36:52
NigeriaNewsdesk,Governor Ishaku: We’ve lost faith in federal government’s security apparatus https://t.co/lGi9VjzVC5 via @todayng https://t.co/qKOe6KdxKw,12,19,Breaking news and current events from around Nigeria and abroad.,,1499082,980232519504117760,2018-03-31 23:56:59
TAbduilahi,"@MobilePunch The PDP ruled in 16years, On those years Nigeria stand still; no dynamics development, high rate of unemployment, no reliable security &amp; at long run U empty the nation treasury. PMB come to power meet the Nigerian treasury empty.And you are now given 48 hours for retractable. No!",0,0,From the family of Alhaji Ango Samanja (rest in peace),Zaria City,20,980229066233085952,2018-03-31 23:43:15
zakibell,"@TeamAdamuGarba @adamugarba what a shame.
mr Garba, after all ur grammar philosophy, i mean mr Garba, the best u could do is join a part that has failed to provide nigerians with security, failed to provide jobs, failed to positively change nigeria, and u expect any serious minded nigeria to listen.",0,0,,,18,980228422873112576,2018-03-31 23:40:42
todayng,"Governor Yari orders security agents to shoot, kill anyone carrying arms, ammunition https://t.co/yuEFyG42cN https://t.co/DGzaiFD3e6",4,5,"Latest news, trends, photos and videos from around Nigeria and world.",,119548,980227490353315840,2018-03-31 23:37:00
riskmap_,Leah Sharibu: #Dapchi Schoolgirl Still In Boko Haram Reportedly Attempted To Escape #Nigeria #Security https://t.co/b5BduLMGjp https://t.co/1ylM1mJRx3,0,2,"Official twitter of RiskMap the free security, health, hazard, humanitarian and political risk platform. #riskmap","Cardiff, Wales",15223,980217429925158912,2018-03-31 22:57:01
watsupafrica,#Nigeria: Muna Attacks Residents Call For Security Presence Despite Normalcy https://t.co/OlzTkwk1tJ,0,0,Africa's Latest News & Entertainment. Follow For Instant News Updates @watsupafrica. FB: https://t.co/M1ajfbeT0s,Africa.,56376,980214918220787712,2018-03-31 22:47:02
idmann_mit,"@GarShehu Northern Governors didn't condemn the AREWA Youth's ""Quit Notice"" to the Igbo nation.

It wasn't considered a threat to National Security nor your admin

But self-defense against killer FulaniMilitia, is now rising against Nigeria's military?

Ewu-ofia, court admits self-defense.",8,7,"Arsenalist, N\R_ationalist, Strategist.

Nigeria: Market place for GOOD & EVIL

#RestructureNigeria #PVCadvocate","Abuja, FCT",942,980210555255508992,2018-03-31 22:29:42
jhunternz,"This #Easter, #Christians are being #persecuted in #China #India #Indonesia #Sudan #Nigeria &amp; #Venezuela https://t.co/veaetPqCy8",1,1,"#Conservative, #Zionist, #Capitalist, #Kiwi, #Libertarian, #ProLife , #TraditionalMarriage","Auckland, New Zealand",202,980209655153491968,2018-03-31 22:26:07
watsupafrica,#Nigeria: Expert Advocates Increased Tech Use On Boosting Nat’l Security Pt.2 |Tech Trends| https://t.co/4hs2C7GJQH,0,0,Africa's Latest News & Entertainment. Follow For Instant News Updates @watsupafrica. FB: https://t.co/M1ajfbeT0s,Africa.,56376,980204591278166018,2018-03-31 22:06:00
WhiteHatScum,"@network_packet @MrThreadzilla @__WhiPP__ @xxbind @frootware @Hoddy_ @ping_of_death_ @GeoffreyHuntley @Hypnogogix @cybersecstu @FPieces @Unix_Guru @security_panda @realytcracker @uncl3dumby @ElJefeDSecurIT @p01arst0rm @Boredsysadmin @notameadow @PolarToffee @guisebule @keepbackups @epicpewpew @StrudalzEatsYou @0XDEDBEEF @dennistalley @notdan @TheBeardedCat @DanielGallagher @joepettit2 @da_667 @FourOctets @steak_umm @da5ch0 @SyrusActual @Kurobeats @MlleLicious @fwosar @Jenny_Radcliffe @Crypto_Bitlord @paperghost @ninjininji @_MG_ @now @sxcurity @x0rz @ed33d33 @LargeCardinal @r0wdy_ Nah, she is a bot. Might be a creepy man from Nigeria or other countries, I don't know. Probably gonna be deleted by twitter. She is cute indeed😜 but not a good date, she won't show up🤷",1,0,Tweets Dutch&amp;English.Opinions are own or from some other strange creature #infosec #FOSS #privacy #tech #cryptography #pirateparty #ethicalhacking #whitehatscum,Somewhere over the rainbow,550,980202161291321346,2018-03-31 21:56:21
stialon,"@MBuhari for how long will old men be ruling us ? Nigeria needs Security,Light,Road and hospital",0,0,,,24,980200834800775168,2018-03-31 21:51:04
Intergrity56,"We need to declare a state of emergency in security sector.  We should not wait till when Nigeria becomes a failed State, We should not wait till when we all drop dead. 

Shouldn't the Service Chiefs go? 

@segalink @CACCOT1 @YemieFASH @TheAishaJibril",26,20,Avid Reader,"USA, Nigeria,United Kingdom ",993,980198313860345856,2018-03-31 21:41:03
guruochie,@amkareto So there are people that still bank on Nigeria for security??,0,0,*,Nigeria,950,980197960456790016,2018-03-31 21:39:39
GabbyOgbechie1,Lagos visit: Buhari's huge security measures sign of president's 'sinking image' - PDP - Premium Times Nigeria https://t.co/21bggTspU0,0,0,"Author, Pastor, Development and Valuation Surveyor, CEO LandAssets Consult Ltd., Publisher, http://t.co/TY4r1nyMmg,
http://t.co/Gn6DATRgiH",Lagos,5510,980197077262139392,2018-03-31 21:36:09
est_nigeria,Home and Office Security (Close Circuit Television) With Remote Access with Zero Blind Spot… https://t.co/yl5oxgzhxj,1,0,Information Communication Technology,"Lagos, Nigeria",11,980179114220015617,2018-03-31 20:24:46
TheFourthRep,"As #Nigeria's internal security rots and the state loses control over the monopoly of violence, how will the international community react towards #Nigeria's slow collapse? https://t.co/rDJUub5kqI",0,1,"A collection of voices who are seeking to be heard regarding Nigeria, Africa and the global Black Diaspora.   RT's are in fact Endorsements.",Everywhere,115,980176039505747973,2018-03-31 20:12:33
ADRIANSYSNET,"Keywords: Conflict; #Nigeria; #CrisisManagement; hostage; insurgency; kidnapping; militancy; terrorism 
African Security Review 25.2 (2016): 193-207. DOI: https://t.co/G4Zf9mtu7Q …",0,0,,,1321,980175577595314176,2018-03-31 20:10:43
owolabitaiwo,"@NnamdiObasi @obyezeks I beg make the #UNTroops and #AUTroops invade #ZamfaraState since the C-in-C is now moribund &amp; unable to handle the Nigeria security issue.
I still don't know what the @nassnigeria is waiting for?
The president if weak while the Zamfara state governor is weaker.",0,0,"A Biologist, an educator whose philosophy of life is equal justice & equitable distribution of resources for all. Love politics, sports, economy & health matter",lagos-Nigeria,1075,980175461060931584,2018-03-31 20:10:15
ADRIANSYSNET,"Oyewole, Samuel. ""The fate of hostages: Nigeria's conflict theatres in comparative perspective."" African Security Review 25.2 (2016): 193-207. DOI: https://t.co/G4Zf9mtu7Q",0,0,,,1321,980175375304089600,2018-03-31 20:09:54
solomonapenja,"I am petrified by news Taraba State Government and two Emirs have passed a no-confidence on Nigeria security agencies, further calling citizens to arms

APC is destroying Nigeria.
APC is destroying Nigeria.
APC is destroying our country!",0,0,Dignity. Honour. Pride. Respect || Ubuntu: I am because you are,,334,980170939160825856,2018-03-31 19:52:17
AperZava,Someone is singing the song we've been singing in Benue and other parts of Middle Belt... Nigeria's security can't secure her citizens. People should be allowed to carry arms and defend themselves. https://t.co/yzAEHavXO1,0,0,"Studied Civil Engineering. Governing principles: freedom, justice, equal rights, nonviolence. Interests: teaching, civil engineering practice, public service.","Makurdi, Nigeria",340,980168577155305472,2018-03-31 19:42:54
HizickTweeds,Lmao security personnel in Nigeria &gt;&gt;&gt;&gt; AU and UN combined. https://t.co/hFHnZkKo2T,1,0,Busy putting all my eggs in one basket.,,3416,980166715588915200,2018-03-31 19:35:30
OFFISSAINCHARGE,"@GarShehu Certainly no country would survive when almost ALL the top security positions are reserved for only one ethnic and religious group in a multi-ethnic nation like Nigeria. Instead of a generic defence, why don't you address  the specific COLLUSION as alleged by Gen. T.Y. Danjuma?",10,1,🇺🇸,"Boston, USA",46,980165889906573312,2018-03-31 19:32:13
youngzuok,"@HEDankwambo What's the essence of voting and it won't count, when you used security to oppress the people against you, why won't our attention be somewhere else, we can't come and kill ourselves for Nigeria mbok",8,1,The only thing i know how to do is make money,Nigeria,1242,980163030666358784,2018-03-31 19:20:51
LbanNigeria,"Be careful what you post
#visa #Nigeria #Immigration #PassionWeek #Easter #security

https://t.co/jum1Za5ERA",0,0,"We lead in providing innovative digital & cloud services, business solutions and design-led experience through our partnership with top IT brands.","Lagos, Nigeria",53,980161585342763008,2018-03-31 19:15:07
NnamdiObasi,"#NIGERIA | An Emir in #Zamfara state calling for #UN intervention to stop #massacres in his domain is unprecedented in Nigeria! It signifies diminished confidence in security agencies and in Fed Govt. Like similar calls from elsewhere in the country, it demands serious response! https://t.co/KpVKHOx0EY",144,358,"Senior Adviser (Nigeria), International Crisis Group @crisisgroup | former Senior Research Fellow, National Defence College, Nigeria 🇳🇬 | Opinions mine.",,6423,980150725551448068,2018-03-31 18:31:57
iAfricans,"Nigeria:Shoot, Kill Anyone Carrying Arms, Ammunition, Yari Orders Security Agents https://t.co/PNo7YECVSU",0,0,"For the Latest News. Online Platform for interaction of Africans to discuss Economic, Social and Political Issues.",Africa,2865,980150433757872128,2018-03-31 18:30:48
UtilityOpeyemi,"Retweeted The Nation Nigeria (@TheNationNews):

Presidency to Nigerians: Use your influence to safeguard national security https://t.co/fn8ZymnA0x https://t.co/fn8ZymnA0x",0,0,,Osun,714,980149191740567557,2018-03-31 18:25:52
Evie__Frye,"@yettyclassy @kritzmoritz @d_problemsolver No one ""runs into"" the President of the federal Republic of Nigeria expecially while on official duty. If you like be worth $100 million. 

It's against security protocol.

Much less get a photographed handshake.

But girl is rude so no point trying to educate her.",0,0,Good girl gone mad,In the Potter's Hands...,805,980143816723324929,2018-03-31 18:04:30
Lopmaidx,"Violent extremism threatens security, development and disrupts the fabric of our society. All of us from the #Northeast #Nigeria can make our voices heard, Say No to VE #NotAnotherNigerian @Neieffellows",6,2,"Lecturer, fellow USAID/NERI @neieffellows countering violent extremism, Researcher, empowering youths to achieve the SDG's, Gemini",Nigeria,433,980140551986180096,2018-03-31 17:51:32
OlaOGUNTUASE,@NGRPresident In view of national security and unity this press release is timely and apt. God bless Nigeria,0,0,,"Lagos, Nigeria",9,980136808779583489,2018-03-31 17:36:39
PROFSAAW,"The failure of the Nigeria Police to perform its constitutional duty - that is, maintaining internal security, is gradually placing undue pressure on the military who are ordinarily meant for protecting territorial integrity.",0,0,"Scholar, Tutor, Mentor, Writer, Blogger/ Broadcast Journalist . Teaching is my hobby. Visit my blog at https://t.co/WXljNNzEGK",,155,980133877946621957,2018-03-31 17:25:01
Lopmaidx,"In the effort to P/CVE and effectively address the #Northeast #Nigeria citizens’ security needs and concerns, we need to do more, learn the pathways for peace #NotAnotherNigerian should be left out in CVE @Neieffellows",0,0,"Lecturer, fellow USAID/NERI @neieffellows countering violent extremism, Researcher, empowering youths to achieve the SDG's, Gemini",Nigeria,433,980127875088175104,2018-03-31 17:01:09
edupeepy1,@MizCazorla1 Nigeria security agency!,1,1,I hate injustice and DAT makes me a Biafran,,466,980126046119976961,2018-03-31 16:53:53
msu_agsa,Stella Chiemela presenting on : The Role of #Agroforestry Systems in #Ecosystem Services &amp; Food Security in #Nigeria #AGSA3AC #FoodSecurity https://t.co/uGvz7okYdW,1,0,African Graduate Students Association at Michigan State University,"East Lansing, MI",4,980117088399437824,2018-03-31 16:18:18
Tori_republic,The southern Youth Wing of Christian Association of Nigeria (YOWICAN) yesterday pleaded with the Federal Government and the security agencies to adopt all necessary measures to ensure the... https://t.co/M77flllbVK,0,0,"For News, Lifestyle, Entertainmment And Some Tori",,230,980116072949936129,2018-03-31 16:14:16
Salysu,"SHOCKING!!! Top Born Again Politician Confesses On How He Bribed INEC, Security Personnels, Others, To Rig Elections https://t.co/hKnOmaZPze",0,0,Follow me on instagram: @ThisisKingSal,London,959,980114253217779713,2018-03-31 16:07:02
Salysu,"VERY SHOCKING!!! Top Born Again Politician Confesses On How He Bribed INEC, Security Personnels, Others, To Rig ...
https://t.co/bnNXFoZsYe",0,0,Follow me on instagram: @ThisisKingSal,London,959,980113371780599808,2018-03-31 16:03:32
Cantomah,"@renoomokri @aligthebaptist @EmmanuelMacron @MBuhari @NaomiCampbell Nigeria is nt France. When was the last time u heard of police officer or soldier being killed in France. In Nigeria it has become a norm security agents being killed in line of duty. Vp, Senate presdnt, speaker, ssg, minister of defence are there in case the prsdnt is absent",0,0,Success calls you five times a day. How many times do you answer?,on the high way to jannah,1017,980108581197533184,2018-03-31 15:44:29
nwakamso,@GarShehu Check ur kitchen cabinet and the security chiefs and see if you are really truthful in this Nigeria oneness or stand as a symbol of disunity.,0,0,"A social activist, voice of the voiceless, servant of truth and God fearing man.",,86,980105076751720448,2018-03-31 15:30:34
riskmap_,2 Injured In Ondo East Apc Bloody Clash #Nigeria #Security https://t.co/w7a8fepWce https://t.co/kEUs9jsJGF,1,1,"Official twitter of RiskMap the free security, health, hazard, humanitarian and political risk platform. #riskmap","Cardiff, Wales",15223,980093333249826827,2018-03-31 14:43:54
ogokaelo,@gagama101 @MurtalaIbin @AHayatu I pray Nigeria survives this near collapse of its national security apparatus.We're in the belly of a storm,0,0,,Abuja,169,980092683216617474,2018-03-31 14:41:19
Onile050,"17. Alteration of the Constitution to provide for the procedure for passing a constitution alteration bill, where the president withholds assent.

18. Alteration of the Constitution to reflect the establishment and core functions of the Nigeria Security and Civil Defence Corps.",0,0,Global development begins when vested interest are wholly sacrificed.,,4437,980092444372070402,2018-03-31 14:40:22
ijaola_ibrahim,"Sai Baba!!!

This 👇👇👇 was his dream, for Nigeria to start manufacturing her weapons...Our fighter jets weapons are made in Nigeria and now rifles.

Beryl M762 assault rifle is now manufactured in Nigeria...To enhance security and protect our territorial integrity
Keep doubting https://t.co/aHQddlnUV9",8,8,Never live to please anyone...,Heaven ,1412,980091485562564609,2018-03-31 14:36:34
Onile050,"81. Chartered Institute of Logistics and Transport of Nigeria Bill, 2018 (HB. 973)

82. National Security Agencies Protection of Officers Identity Bill, 2018 (HB. 830)

83. Institute of Environmental Practitioners of Nigeria (HB. 1022)",0,0,Global development begins when vested interest are wholly sacrificed.,,4437,980090480066260992,2018-03-31 14:32:34
markfrolic,"The controversial Award in Nigeria, what is it all about? On Security of life and properties?  Economy? Truthfulness? Unity of the country? on what is it all about? . .....",0,0,Heralding  the 2nd Advent of Yahshua Messiah .,,210,980087451829047296,2018-03-31 14:20:32
illestdjkflow,“Buhari has corrupted the security agencies ahead of the 2019 general election” said the coalition for Nigeria movement,0,0,"C.E.O. ILLEST ENT. R-DJ @siploungelagos @zenbahlagos Spin the Best in Funky House, HipHop, RnB, AfroBeatz & Bashment. Info-deejaykflow@gmail.com, 08039771744",Indulge in music,438,980086034758356993,2018-03-31 14:14:54
moneylineait,"You don't play Politics with Food ""
  
Shedrack Madlion (CEO SAFARI 54) speaks on NAT FOOD SECURITY COUNCIL with @nancyilloh 

@cchukudebelu @Jennychisomblog @toluogunlesi  @DrJoeAbah @OsasCruz @TheMbuhari @d_problemsolver @renoomokri @omoissy @seunonigbinde 

#Nigeria #NFSC https://t.co/MvFREzMykI",6,4,"Official Account MoneyLine with Nancy. 
Africa's Largest Business Program.
 Showing on AIT Monday - Friday by 11 am","Federal Capital Territory, Nig",1653,980076959450435585,2018-03-31 13:38:50
Salysu,"SHOCKING!!! Top Born Again Senator Shakes The Entire Country, Confesses How He Bribed INEC, Security Personnel, ...
https://t.co/RhtjPJRHiz",0,0,Follow me on instagram: @ThisisKingSal,London,959,980076699554639872,2018-03-31 13:37:48
FredBardy,"Governor Ishaku: We’ve Lost Faith in Federal Government’s Security Apparatus
...........................................
The Taraba State government has said that it no longer had confidence in the Federal Government security apparatus deployed in the... https://t.co/pu0OdfpgxD",1,0,Statesman & KowaC8 Strategist #LightUpNigeria #Writer #Music,"Asaba, Delta State. Nigeria",5233,980075539825340416,2018-03-31 13:33:12
TomiwaSage,"Just don't be poor in Nigeria.
Be rich&amp; very influential.
So you can accuse the security forces of not being neutral and no one will invite you for questioning.
You can also confess to rigging elections&amp;no one will touch you.",1,1,The Creative Workshop: actor/Comedian and wedding mc,In Eden.,2686,980073552836726785,2018-03-31 13:25:18
irinnews,"Tracking the cops: A new open source database is collating background info on police and security force officers in Nigeria, Egypt, and Mexico @EmmanuelFreuden https://t.co/YwSOAbcSJ5",5,2,"The world's leading provider of humanitarian news and analysis. Published from Nairobi, Bangkok, Jerusalem, Geneva & London. Subscribe: https://t.co/dx8QAdpkvN","Geneva, Switzerland",77719,980069450262212608,2018-03-31 13:09:00
AlagbaKen,"@GuardianNigeria Prayers does not build a Country 2b great, but selfless &amp; visionary Leadership. The missing link in Nigeria is sincerity towards doing that which is 2d  benefit of the Masses access 2good education, health, security &amp; improved standard of living. These are policies can do things",0,0,"Life's about what you make of it. Make it worth living With Love, peace and happiness. You Can Only Share What You Have. 🙏🏿",,513,980066731774435329,2018-03-31 12:58:12
iAfricans,Nigeria:Taraba State - We've Lost Faith in Federal Government's Security Deployments https://t.co/pYEOrRXIv0,0,0,"For the Latest News. Online Platform for interaction of Africans to discuss Economic, Social and Political Issues.",Africa,2865,980060645331582976,2018-03-31 12:34:01
CMUDOH,Why was the award given? Was it to thank his for building roads..hospital..schools and providing security for the citizens? What was it for.. Your family must have been paid to come to Nigeria and a fool out of yourselves.. Pls stay there don't come here to rub sale on injury https://t.co/5gOr0yj6Op,0,0,"GOOD CHARACTER..LOVE'S SINCERITY AND HUMILITY..CHERISHES TRUTHFULNESS..
TELECOMS ENGINEER [DATACOM/TRANS]",CampDavid..DC..,348,980056984581001216,2018-03-31 12:19:28
AidNews2,"Nigeria:Illegal Arms Possession - Shoot at Sight, Gov. Yari Orders Security Agents https://t.co/AfLHooX0ex via @aidnews",0,0,Low traffic version of @aidnews - News on Humanitarian Issues,Rome,631,980052082307710976,2018-03-31 11:59:59
mmfng,"Our security and intelligence agency in Nigeria has not taken off...
For every intelligence agencies must have local spotters on ground. https://t.co/PEjicvcGQJ",1,1,"The Murtala Muhammed Foundation (MMF) is a Non-Profit organization, founded on the ideals of the Late Gen. Murtala Muhammed, a former Head of State of Nigeria",Lagos Nigeria,2168,980051602739429376,2018-03-31 11:58:05
Gwariboy,"I think at this point it is safe to say herdsmen are attacking every ethnic group in this country. The security outfits in Nigeria cannot protect its citizens hence the clarion call by concerned individuals. Emir of Birnin Gwari has spoken too, add that to T.Y Danjuma’s.",1,1,"Jesus Till I Expire: Christ Rules on my Contents. I am NORTH, a Nigerian.","Abuja, Nigeria",6168,980049112061050880,2018-03-31 11:48:11
khalilhumam,"Nigeria:Shoot, Kill Anyone Carrying Arms, Ammunition, Yari Orders Security Agents | Khalil Humam - https://t.co/KXxmlFBE1u",0,0,https://t.co/PZgiOXUfA3 | https://t.co/5LGcFirpwx | International Development Speaker and Consultant,"Vancouver, British Columbia",209,980048162374258688,2018-03-31 11:44:24
riskmap_,#Ondo East Apc Crisis Deepens; Two Injured In Bloody Clash #Nigeria #Security https://t.co/vP13qUHaoc https://t.co/u9D0sqVV27,0,1,"Official twitter of RiskMap the free security, health, hazard, humanitarian and political risk platform. #riskmap","Cardiff, Wales",15223,980046977994956800,2018-03-31 11:39:42
shrtBlakBoi,Be very scared of moving freely and going to places you’re not really sure of in Nigeria. We live in a jungle! No security for normal citizens at all,0,2,Working with nothing but Allah as my aid,Striving for Jannah,2278,980046849343217666,2018-03-31 11:39:11
globalissuesweb,"Nigeria:Shoot, Kill Anyone Carrying Arms, Ammunition, Yari Orders Security Agents https://t.co/7MGomePjs9 https://t.co/XcMnm0uzXb",0,0,"Forum on Global Issues, Geography,  and Culture. In  the interests of economic justice, sustainable development and universal human welfare.","Los Angeles, California, USA",111141,980046246437097472,2018-03-31 11:36:48
Africa,"Nigeria:Shoot, Kill Anyone Carrying Arms, Ammunition, Yari Orders Security Agents https://t.co/Xk6FvavQTy",0,0,,,2242,980045170795274240,2018-03-31 11:32:31
IerJonathan,"Retweeted The Guardian Nigeria (@GuardianNigeria):

Yoruba elders call on Buhari to sack the present security chiefs and immediately declare herdsmen as terrorists. 
https://t.co/HqyLJ1Olub https://t.co/DMowtf7Wal",0,0,,,358,980045081897046016,2018-03-31 11:32:10
cgnetwork,"Nigeria:Illegal Arms Possession - Shoot at Sight, Gov. Yari Orders Security Agents… https://t.co/6wDQ3pm2U2",0,0,Suntex Strategic Investment Ltd •Private Investment Banking •CHINA •USA •THAILAND  •PSS WORLDWIDE OF THE WORLD - HOTEL & RESORTS•CHINA•THAILAND,Thailand,1276,980043676725465089,2018-03-31 11:26:35
DoDeRightThing,Am mad at all those that negotiated the dapchi girls release and forgot to negotiate for #LeahSharibu. I am mad at the security hierarchy of Nigeria and the presidency. I am mad that poor Leah Sharibu is spending Easter outside his family home &amp; under abduction. I am mad @Nigeria https://t.co/8oicMFntWF,1,6,"“Each time I want to fight for African rights, I use only one hand —because the other hand is busy trying to keep away Africans who are fighting me.” -B.Burombo",,3196,980043529065058306,2018-03-31 11:26:00
globalissuesweb,Nigeria:Taraba State - We've Lost Faith in Federal Government's Security Deployments https://t.co/TC0UUVUlyu https://t.co/ymvl82nfaH,0,0,"Forum on Global Issues, Geography,  and Culture. In  the interests of economic justice, sustainable development and universal human welfare.","Los Angeles, California, USA",111141,980042388109512704,2018-03-31 11:21:28
owolabitaiwo,"@FailedRift @Saatah Now I stand with @BillGates narrative that d Nigeria govt must invest in its citizens particularly in d area of Education &amp; Health.
See how much pollution they are contributing daily 2d environment ignorantly. 
Head of security said its better 2waste than allow it enter d society",5,2,"A Biologist, an educator whose philosophy of life is equal justice & equitable distribution of resources for all. Love politics, sports, economy & health matter",lagos-Nigeria,1075,980042234367283205,2018-03-31 11:20:51
HumanityNews2,"Nigeria:Illegal Arms Possession - Shoot at Sight, Gov. Yari Orders Security Agents https://t.co/vHUJ9xW2mz via @HumanityNews",0,0,Low traffic version of @HumanityNews - The latest humanitarian and nonprofit news,Rome,939,980042159624605696,2018-03-31 11:20:33
Africa,Nigeria:Taraba State - We've Lost Faith in Federal Government's Security Deployments https://t.co/1hX8IcOtBk,0,0,,,2242,980041391916175360,2018-03-31 11:17:30
jeepeg,"Nigeria: Illegal Arms Possession – Shoot at Sight, Gov. Yari Orders Security Agents https://t.co/8pvJidC3kp",0,0,,"Paris, FRANCE",922,980040840365174784,2018-03-31 11:15:19
khalilhumam,Nigeria:Taraba State - We've Lost Faith in Federal Government's Security Deployments | Khalil Humam - https://t.co/PAd3TVVmbr,0,0,https://t.co/PZgiOXUfA3 | https://t.co/5LGcFirpwx | International Development Speaker and Consultant,"Vancouver, British Columbia",209,980040730252103680,2018-03-31 11:14:53
BJCares,"@MBuhari @NGRPresident This is the same Naomi that was appearing at War Crimes Tribunal on stolen diamonds by Charles Taylor, that your security people could not screen and you had to do photo ops &amp; handshake with. You are Anti-corruption Czar of Nigeria?",0,0,"A regular guy with a flair for football - mostly English Premier League, soc-economic development and politics",Nigeria ,828,980040530632609792,2018-03-31 11:14:05
sholyments,"@MayukuD @Lakwami @babaidris090 @bukolasaraki You lack understanding of how society is being governed sir.  If Nigeria security and intelligent outfits had not worked with Interpol in ibori case,  what could UK police have done?  Wise up,  this cheap attacks on personality is not what we need as a nation to grow",0,0,"Leaders are reflections of our society,  no good society produces bad leaders and vice versa. before you cast stone,  ask yourself if u also a good citizen","Ilorin, Nigeria",193,980037751511879680,2018-03-31 11:03:02
naijaperiscope,"Sen Ibrahim Mantu: How PDP Used INEC, Security Agencies To Rig Elections: All… https://t.co/JmO9Ke6yXK  #nigeria",0,0,News Daily,"Mbaise Nation, Nigeria",2941,980036940824285184,2018-03-31 10:59:49
NEFITES,"120 Arms Recovered In 2 Weeks - Nigeria Police In Rivers

https://t.co/9UHp7hSvwx",0,0,,Nigeria,1180,980034669352771585,2018-03-31 10:50:47
FeamsJames,"The major problem we have in this country is our metal up-bringing and the only people who has the power to set it right is the politicians of this country. Not just security, no one in Nigeria believes also in legitimacy..... @UrbanRadio945 @radiosbb1",1,1,,Nigeria,97,980030748911722496,2018-03-31 10:35:13
LegalNaija,New Horizons: Utilising Ip As Security For Financing Transactions In Nigeria https://t.co/tErevbmHD6,1,0,We educate Nigerians on the law. Tweets do not constitute legal advice or create attorney-client relationships. Legalnaija@gmail.com,Nigeria,5440,980029958109253632,2018-03-31 10:32:04
khalilhumam,"Nigeria:Illegal Arms Possession - Shoot at Sight, Gov. Yari Orders Security Agents | Khalil Humam - https://t.co/zIblQww6cC",0,0,https://t.co/PZgiOXUfA3 | https://t.co/5LGcFirpwx | International Development Speaker and Consultant,"Vancouver, British Columbia",209,980029294020841474,2018-03-31 10:29:26
digitalbes,"ALWAYS –ON SSL (AOSSL), AN IMPORTANT SECURITY TO CONSIDER BY COMPANY AND THOSE WHO https://t.co/WI4pNH4A0s #Nigeria,#lagos,#abuja,#website",0,0,"Digitalbes a website design and ICT solution company in Nigeria. We do Website Design/Development, Training,Create Mobile App, Hosting, Domain Registration etc","Lagos, Nigeria",2867,980028911995285504,2018-03-31 10:27:55
